,CellType,annotLevel,p,fold_change,sd_from_mean,area,trend,FDR
L5 IT,L5 IT,2,0,1.226540055,9.755037733,FrontalGM56,down,0
L6 CT,L6 CT,2,0,1.167169111,7.116749214,FrontalGM56,down,0
L6 IT,L6 IT,2,0,1.162929382,6.912116253,FrontalGM56,down,0
Sst,Sst,2,0,1.231273364,9.469840644,FrontalGM56,down,0
Oligo1,Oligo,2,0,1.723497984,6.081790415,FrontalWM56,down,0
L6b,L6b,2,3.00E-05,1.136141745,4.66638451,FrontalGM56,down,0.00012
Lamp5,Lamp5,2,5.00E-05,1.121266669,4.382108426,FrontalGM56,down,0.000166667
L2/3 IT,L2/3 IT,2,0.00027,1.085579179,3.675465333,FrontalGM56,down,0.000771429
L5/6 NP,L5/6 NP,2,0.00515,1.090738739,2.761994396,FrontalGM56,down,0.012875
Vip,Vip,2,0.02828,1.055072579,1.98605497,FrontalGM56,down,0.062844444
Sncg,Sncg,2,0.03212,1.056442173,1.931620129,FrontalGM56,down,0.06424
L6 IT Car3,L6 IT Car3,2,0.03925,1.054131628,1.813821098,FrontalGM56,down,0.065416667
Pvalb,Pvalb,2,0.03721,1.04571863,1.83979994,FrontalGM56,down,0.065416667
Astro1,Astro,2,0.03085,1.236287144,2.006218512,FrontalWM56,down,0.2294
VLMC1,VLMC,2,0.03441,1.322341695,1.942517438,FrontalWM56,down,0.2294
Endo1,Endo,2,0.18409,1.143282614,0.891498756,FrontalWM56,down,0.73636
Sst1,Sst,2,0.18342,1.055765347,0.859585556,FrontalWM56,down,0.73636
Endo,Endo,2,0.5776,0.986536831,-0.221084323,FrontalGM56,down,0.888615385
Astro,Astro,2,1,0.716537927,-6.405702881,FrontalGM56,down,1
L5 ET,L5 ET,2,0.98925,0.924715514,-2.159228223,FrontalGM56,down,1
Micro-PVM,Micro-PVM,2,0.99994,0.783948067,-3.633675837,FrontalGM56,down,1
Oligo,Oligo,2,0.97894,0.912609878,-1.942195494,FrontalGM56,down,1
OPC,OPC,2,1,0.805578674,-4.400366015,FrontalGM56,down,1
Sst Chodl,Sst Chodl,2,0.9716,0.914888569,-1.837795262,FrontalGM56,down,1
VLMC,VLMC,2,0.99946,0.806263312,-3.08896432,FrontalGM56,down,1
L2/3 IT1,L2/3 IT,2,0.98968,0.872367349,-2.072247149,FrontalWM56,down,1
L5 ET1,L5 ET,2,1,0.698031822,-3.289667964,FrontalWM56,down,1
L5 IT1,L5 IT,2,0.93597,0.913305474,-1.409966566,FrontalWM56,down,1
L5/6 NP1,L5/6 NP,2,0.8328,0.916941592,-0.954869679,FrontalWM56,down,1
L6 CT1,L6 CT,2,0.98767,0.87395681,-2.030925213,FrontalWM56,down,1
L6 IT1,L6 IT,2,0.98848,0.871195081,-2.055850307,FrontalWM56,down,1
L6 IT Car31,L6 IT Car3,2,0.98631,0.845490559,-1.95267305,FrontalWM56,down,1
L6b1,L6b,2,0.98511,0.856139846,-1.863242994,FrontalWM56,down,1
Lamp51,Lamp5,2,0.59945,0.976263679,-0.324104755,FrontalWM56,down,1
Micro-PVM1,Micro-PVM,2,0.52513,0.981620573,-0.116731413,FrontalWM56,down,1
OPC1,OPC,2,0.87418,0.868646513,-1.117882811,FrontalWM56,down,1
Pvalb1,Pvalb,2,0.97308,0.882386121,-1.779145847,FrontalWM56,down,1
Sncg1,Sncg,2,0.51789,0.990073076,-0.129109424,FrontalWM56,down,1
Sst Chodl1,Sst Chodl,2,0.96792,0.793053868,-1.69295047,FrontalWM56,down,1
Vip1,Vip,2,0.53729,0.986390862,-0.185986765,FrontalWM56,down,1
