,CellType,annotLevel,p,fold_change,sd_from_mean,area,trend,FDR
ExNeu_deep,ExNeu_deep,1,0,-1.434564151,26.70784367,FrontalGM56,down,0
ODC,ODC,1,9e-05,-1.093332751,4.022482936,FrontalGM56,down,0.00036
ExNeu_deep1,ExNeu_deep,1,0,-1.281896341,6.550186026,FrontalWM56,down,0
ODC1,ODC,1,4e-05,-1.269441273,4.395025916,FrontalWM56,down,0.000213333
ExNeu_deep2,ExNeu_deep,1,0,-1.433538494,24.1231879,PN46,down,0
ODC2,ODC,1,0.00669,-1.065628663,2.571702502,PN46,down,0.01784
ExNeu_deep3,ExNeu_deep,1,0,-1.478018178,23.4665667,PCT46,down,0
ExNeu_deep4,ExNeu_deep,1,0.00483,-1.091695092,2.707268401,CST46,down,0.03864
ExNeu_deep5,ExNeu_deep,1,0.00483,-1.091695092,2.707268401,CST46,down,0.03864
ExNeu_deep6,ExNeu_deep,1,0,-1.258010807,8.140797886,Teg46,down,0
ODC3,ODC,1,0.00829,-1.112881547,2.501135073,Teg46,down,0.03316
