,CellType,annotLevel,p,fold_change,sd_from_mean,area,trend,FDR
Astro,Astro,2,0,1.305342576,7.133174986,FrontalGM56,up,0
Endo,Endo,2,0,1.729854652,12.46521312,FrontalGM56,up,0
Micro-PVM,Micro-PVM,2,0,1.395759574,6.885259225,FrontalGM56,up,0
VLMC,VLMC,2,0,1.62888246,10.35899313,FrontalGM56,up,0
Micro-PVM1,Micro-PVM,2,0.00071,1.74207831,3.783702091,FrontalWM56,up,0.0142
Oligo1,Oligo,2,0.00213,1.512679867,3.478157662,FrontalWM56,up,0.0213
Astro1,Astro,2,0.03516,1.285234138,1.95485531,FrontalWM56,up,0.2344
Endo1,Endo,2,0.11658,1.244114424,1.219347013,FrontalWM56,up,0.5829
VLMC1,VLMC,2,0.16182,1.202086674,0.979647237,FrontalWM56,up,0.64728
Oligo,Oligo,2,0.1872,1.038335986,0.882426274,FrontalGM56,up,0.7488
L2/3 IT1,L2/3 IT,2,0.99995,0.761036572,-3.135629906,FrontalWM56,up,0.99998
L5 ET1,L5 ET,2,0.99954,0.731711592,-2.349077232,FrontalWM56,up,0.99998
L5 IT1,L5 IT,2,0.99998,0.759719568,-3.171998599,FrontalWM56,up,0.99998
L5/6 NP1,L5/6 NP,2,0.9918,0.795456014,-1.894495061,FrontalWM56,up,0.99998
L6 CT1,L6 CT,2,0.99938,0.788813116,-2.729684458,FrontalWM56,up,0.99998
L6 IT1,L6 IT,2,0.99983,0.77360915,-2.926808829,FrontalWM56,up,0.99998
L6 IT Car31,L6 IT Car3,2,0.99901,0.752235025,-2.527588371,FrontalWM56,up,0.99998
L6b1,L6b,2,0.99953,0.762919991,-2.476671787,FrontalWM56,up,0.99998
Lamp51,Lamp5,2,0.9578,0.863714956,-1.50201915,FrontalWM56,up,0.99998
OPC1,OPC,2,0.48431,0.993018573,-0.04759259,FrontalWM56,up,0.99998
Pvalb1,Pvalb,2,0.94513,0.878921059,-1.474775992,FrontalWM56,up,0.99998
Sncg1,Sncg,2,0.92958,0.873958811,-1.314215932,FrontalWM56,up,0.99998
Sst1,Sst,2,0.99042,0.842416457,-1.951841272,FrontalWM56,up,0.99998
Sst Chodl1,Sst Chodl,2,0.80853,0.865093362,-0.886047695,FrontalWM56,up,0.99998
Vip1,Vip,2,0.31357,1.033857628,0.372741862,FrontalWM56,up,0.99998
L2/3 IT,L2/3 IT,2,1,0.841653832,-7.081614571,FrontalGM56,up,1
L5 ET,L5 ET,2,1,0.765456262,-6.980827217,FrontalGM56,up,1
L5 IT,L5 IT,2,1,0.762960615,-10.6140101,FrontalGM56,up,1
L5/6 NP,L5/6 NP,2,1,0.782101167,-6.893635138,FrontalGM56,up,1
L6 CT,L6 CT,2,1,0.765066101,-10.32327677,FrontalGM56,up,1
L6 IT,L6 IT,2,1,0.775177319,-9.88459256,FrontalGM56,up,1
L6 IT Car3,L6 IT Car3,2,1,0.805597557,-6.755770871,FrontalGM56,up,1
L6b,L6b,2,1,0.748540846,-8.941631568,FrontalGM56,up,1
Lamp5,Lamp5,2,1,0.850418469,-5.609571812,FrontalGM56,up,1
OPC,OPC,2,0.44713,1.004567031,0.106530578,FrontalGM56,up,1
Pvalb,Pvalb,2,1,0.824287549,-7.299607077,FrontalGM56,up,1
Sncg,Sncg,2,1,0.853970192,-5.185014814,FrontalGM56,up,1
Sst,Sst,2,1,0.840974529,-6.720040834,FrontalGM56,up,1
Sst Chodl,Sst Chodl,2,1,0.803347656,-4.427699365,FrontalGM56,up,1
Vip,Vip,2,1,0.898979101,-3.781192608,FrontalGM56,up,1
