"","CellType","annotLevel","p","fold_change","sd_from_mean","area","trend","FDR"
"Astro1","Astro",1,0.00584,1.04965727114137,2.54528199559854,"FrontalGM56","up",0.018688
"BBB1","BBB",1,0,1.26768643036185,11.0714284666113,"FrontalGM56","up",0
"MG1","MG",1,2e-05,1.10954538762044,4.44538610006981,"FrontalGM56","up",0.000106666666666667
"MG11","MG",1,0.00206,1.27876557286885,3.27756883422364,"FrontalWM56","up",0.00824
"ODC1","ODC",1,2e-05,1.34638501826659,4.53587644966027,"FrontalWM56","up",0.00016
"Astro11","Astro",1,0,1.17939368282405,5.34319360911005,"PN46","up",0
"BBB11","BBB",1,0,1.22272437087083,5.37239744616582,"PN46","up",0
"MG12","MG",1,0.00055,1.14804369042075,3.54063804370497,"PN46","up",0.00176
"ODC11","ODC",1,0,1.21379442881766,5.66498889738886,"PN46","up",0
"MG13","MG",1,1e-05,1.3097814177569,4.97633092595678,"PCT46","up",5.33333333333333e-05
"ODC12","ODC",1,0,1.69346582081262,12.3322275383814,"PCT46","up",0
"ODC13","ODC",1,0,1.65770059824137,11.0942219133083,"CST46","up",0
"ODC14","ODC",1,0,1.65770059824137,11.0942219133083,"CST46","up",0
"BBB12","BBB",1,0.00721,1.16648333397137,2.61214463616509,"Teg46","up",0.03316
"MG14","MG",1,0.00027,1.2500120477585,3.87197037143084,"Teg46","up",0.00216
