"","CellType","annotLevel","p","fold_change","sd_from_mean","MEcolors","FDR"
"Endo","Endo",2,0.0014,1.40966877434782,3.28860419873407,"MEblack",0.028
"Astro","Astro",2,0.006,1.16235164627858,2.67151976917826,"MEblue",0.024
"Endo1","Endo",2,0.00024,1.31719604060621,3.82205337346507,"MEblue",0.0016
"Micro-PVM","Micro-PVM",2,0,1.40942247658866,5.04160055812949,"MEblue",0
"Oligo","Oligo",2,0.00019,1.24615175716607,4.01704911076842,"MEblue",0.0016
"VLMC","VLMC",2,5e-04,1.30883515356425,3.58816808812962,"MEblue",0.0025
"Endo2","Endo",2,0.00038,1.33979834379108,3.63113708823732,"MEbrown",0.0076
"VLMC1","VLMC",2,2e-05,1.51609873945255,4.37438600652851,"MEgreen",4e-04
"Astro1","Astro",2,0,2.25147372119977,10.893422375076,"MEgreenyellow",0
"Micro-PVM1","Micro-PVM",2,0.00083,1.88537944154444,3.77504893623785,"MElightgreen",0.0166
"Endo3","Endo",2,7e-05,1.64624967110287,4.56585811266286,"MEpink",0.0014
"Micro-PVM2","Micro-PVM",2,0.00029,1.54620338554897,3.9218718547406,"MEpink",0.0029
"VLMC2","VLMC",2,0.00116,1.50483081089652,3.45085548892029,"MEpink",0.00773333333333333
"Astro2","Astro",2,1e-05,1.41251532556638,5.4739886717034,"MEred",1e-04
"Oligo1","Oligo",2,0,1.48159101640697,6.29736100575375,"MEred",0
"Pvalb","Pvalb",2,0.00218,1.32221346943055,3.48486900663823,"MEroyalblue",0.0218
"Sst","Sst",2,0.00049,1.43102934091066,4.74227986390812,"MEroyalblue",0.0098
"L5 IT","L5 IT",2,0,1.17782193042771,6.53288338883104,"MEturquoise",0
"L6 CT","L6 CT",2,0.00111,1.09125070112061,3.2988804357043,"MEturquoise",0.00444
"L6 IT","L6 IT",2,4e-05,1.11684459463283,4.21295801204422,"MEturquoise",2e-04
"Lamp5","Lamp5",2,2e-05,1.15077910943429,4.61867090830901,"MEturquoise",0.000133333333333333
"Sncg","Sncg",2,0.00724,1.09109100193215,2.64196584679333,"MEturquoise",0.0206857142857143
"Sst1","Sst",2,0,1.26262886966285,9.09505637244431,"MEturquoise",0
"Vip","Vip",2,0.00253,1.10156618696278,3.10844233318825,"MEturquoise",0.00843333333333333
"Endo4","Endo",2,0.0044,1.27869666889327,2.82210098045311,"MEyellow",0.0326
"Micro-PVM3","Micro-PVM",2,0,1.5680547822889,5.85195477913058,"MEyellow",0
"VLMC3","VLMC",2,0.00489,1.28228226303952,2.75788082438542,"MEyellow",0.0326
