"","CellType","annotLevel","p","fold_change","sd_from_mean","MEcolors","FDR"
"BBB","BBB",1,0.0015,1.16724564500268,3.19596174810749,"MEblack",0.012
"BBB1","BBB",1,0.00165,1.10792204463252,3.12804799171353,"MEblue",0.0066
"MG","MG",1,3e-05,1.15544655164503,4.47095839280681,"MEblue",0.00024
"BBB2","BBB",1,0.00015,1.15097445299457,3.86321776985488,"MEbrown",0.0012
"ExNeu_deep","ExNeu_deep",1,0,1.61603819879814,9.43933661744684,"MEdarkred",0
"BBB3","BBB",1,0.00211,1.14114650722922,3.0118010780529,"MEgreen",0.01688
"Astro","Astro",1,0,1.3293132634269,6.20763142323933,"MEgreenyellow",0
"ExNeu_deep1","ExNeu_deep",1,0,1.30271355529288,5.61619250006194,"MEgrey60",0
"ExNeu_deep2","ExNeu_deep",1,0,1.17511705611285,4.3952550628216,"MEmagenta",0
"ODC","ODC",1,1e-05,1.2646265250957,4.66443847623378,"MEmagenta",4e-05
"BBB4","BBB",1,0.00047,1.37029932638682,3.85021978182663,"MEmidnightblue",0.00376
"BBB5","BBB",1,0,1.32304906373948,5.45453040148657,"MEpink",0
"ExNeu_deep3","ExNeu_deep",1,0,1.18983606756136,4.74553660643941,"MEpurple",0
"ExNeu_deep4","ExNeu_deep",1,0.00195,1.0843717720123,3.00896033586313,"MEred",0.0078
"ODC1","ODC",1,0,1.28837549044462,7.24158223810162,"MEred",0
"ExNeu_deep5","ExNeu_deep",1,0,1.4313591713802,6.94832515946639,"MEroyalblue",0
"MG1","MG",1,7e-05,1.34805795106311,4.39893008549505,"MEtan",0.00056
"ExNeu_deep6","ExNeu_deep",1,0,1.49308635077228,25.5871933453798,"MEturquoise",0
"ODC2","ODC",1,0.00049,1.09537109077938,3.46817049267587,"MEturquoise",0.00196
"BBB6","BBB",1,0.00083,1.13870938880184,3.33694316234584,"MEyellow",0.00332
"MG2","MG",1,0,1.25758041347852,6.18685581452464,"MEyellow",0
