"","CellType","annotLevel","p","fold_change","sd_from_mean","area","FDR"
"ExNeu_deep","ExNeu_deep",1,9e-05,1.24925854680768,4.24202431450957,"Frontal",0.00015
"ExNeu_deep1","ExNeu_deep",1,0.00311,1.25545938707968,3.09149607396441,"Temporal",0.00345555555555556
"ODC","ODC",1,0.00658,1.3313803430545,2.83275783440364,"Temporal",0.00658
"ExNeu_deep2","ExNeu_deep",1,0,1.35851895660303,6.31024845858291,"Hippocampus",0
"ExNeu_deep3","ExNeu_deep",1,0.00072,1.23100454544519,3.60904452368891,"BG",9e-04
"ODC1","ODC",1,0.00018,1.39804362927182,4.35223622389556,"BG",0.000257142857142857
"ExNeu_deep4","ExNeu_deep",1,0,1.42146355508718,6.52698803965675,"Midbrain",0
"ExNeu_deep5","ExNeu_deep",1,0,1.44955644245431,8.51033501533992,"Pons",0
"ExNeu_deep6","ExNeu_deep",1,0,1.3482168043487,5.89202734609658,"Occipital",0
"ExNeu_deep7","ExNeu_deep",1,0,1.31297002620482,5.27808627951395,"Thalamus",0
