,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
CXCR4,165.7008472,1.657793056,0.481033311,3.446316537,0.000568284,0.024675502,3.25E+00
CD68,85.70056779,1.379483484,0.47608977,2.897528095,0.00376116,0.040999561,2.42E+00
CXCL16,33.65295514,1.366562265,0.510522713,2.676790339,0.007433113,0.046865852,2.13E+00
ITGAX,79.07874069,1.083258163,0.297870182,3.636678759,0.000276176,0.01856128,3.56E+00
APOE,1569.362483,0.977761872,0.470850176,2.076588096,0.037839592,0.098168754,1.42E+00
TREM2,77.64399667,0.963666925,0.317134542,3.038669076,0.002376257,0.038240208,2.62E+00
CSTA,49.3275635,0.920301211,0.247479362,3.718698819,0.000200252,0.018356401,3.70E+00
GRN,255.4613791,0.915061343,0.412902497,2.216168105,0.026679991,0.080922768,1.57E+00
HMOX1,100.1534249,0.8809578,0.298638235,2.949916314,0.0031786,0.040999561,2.50E+00
MMP9,24.43966728,0.869697871,0.272030789,3.197056756,0.001388376,0.036122433,2.86E+00
HLA-DRA,255.5033955,0.854881692,0.530221262,1.612311224,0.106894232,0.186402972,9.71E-01
NGFR,58.32448146,0.833426721,0.206900656,4.028149239,5.62E-05,0.010356772,4.25E+00
ITGAL,13.56536717,0.829865001,0.392928688,2.111999014,0.034686534,0.092910359,1.46E+00
NPC2,483.612629,0.82537767,0.379561022,2.174558559,0.029663213,0.084755177,1.53E+00
TGFB1,99.31590358,0.782088354,0.280951051,2.78371749,0.005373982,0.042047671,2.27E+00
LPO,39.335859,0.77683537,0.213034865,3.646517535,0.000265818,0.01856128,3.58E+00
APOA1,43.24873701,0.761564042,0.217164299,3.50685654,0.000453434,0.022506332,3.34E+00
KLK6,98.03202176,0.734539065,0.191556642,3.83457893,0.00012578,0.014824022,3.90E+00
PLIN3,175.9482809,0.731305834,0.171278499,4.269688481,1.96E-05,0.00807453,4.71E+00
NKX6-2,118.121642,0.715042477,0.196267036,3.643212294,0.000269257,0.01856128,3.57E+00
MMP2,30.69196904,0.706135288,0.219617287,3.215299204,0.001303086,0.036122433,2.89E+00
MMP14,11.99860893,0.703830815,0.409224568,1.719913392,0.085448186,0.161169226,1.07E+00
PLA2G2F,42.69929752,0.686673258,0.230224158,2.982629039,0.002857841,0.040650332,2.54E+00
SPI1,106.9834277,0.684862976,0.313552975,2.184201815,0.028947422,0.08438736,1.54E+00
SLA,68.3812489,0.682890408,0.25907208,2.635908924,0.008391225,0.048751836,2.08E+00
FAM107B,251.5015581,0.680002133,0.174169066,3.90426468,9.45E-05,0.012995442,4.02E+00
GDNF,58.86487612,0.677213448,0.223180039,3.034381796,0.002410292,0.038240208,2.62E+00
TF,533.1995109,0.669810239,0.290106703,2.30884096,0.020952408,0.071571053,1.68E+00
TCIRG1,57.88125691,0.662412857,0.228277592,2.901786592,0.003710412,0.040999561,2.43E+00
MAG,370.8795309,0.662265481,0.239804769,2.761686034,0.005750375,0.042047671,2.24E+00
PRKACG,45.49613684,0.654026852,0.266618971,2.453039444,0.01416548,0.058779009,1.85E+00
PRF1,59.69166372,0.651942107,0.207797625,3.137389592,0.001704595,0.037135876,2.77E+00
IRF8,57.05517238,0.650692592,0.244405601,2.6623473,0.007759777,0.047774746,2.11E+00
PLA2G2A,56.57482301,0.646898184,0.231608255,2.793070496,0.005221031,0.042047671,2.28E+00
IL10RA,56.82904587,0.643863012,0.240306406,2.679341859,0.007376704,0.046865852,2.13E+00
TLR2,91.85369795,0.637536022,0.186570227,3.41713698,0.000632834,0.026104415,3.20E+00
SH3TC2,57.00229835,0.634341465,0.182505033,3.475747789,0.000509431,0.023348927,3.29E+00
CD44,152.4869564,0.627574853,0.400106536,1.568519374,0.116759972,0.196585667,9.33E-01
HPGDS,71.23331351,0.610245716,0.211952399,2.879163994,0.003987309,0.041098613,2.40E+00
ENG,78.70959519,0.608144587,0.309152041,1.967137548,0.049167355,0.115235989,1.31E+00
CDC42EP1,156.9002708,0.595858063,0.166825132,3.571752389,0.000354601,0.020499917,3.45E+00
MYRF,279.4077531,0.595388719,0.214031707,2.781778122,0.005406199,0.042047671,2.27E+00
NINJ2,113.0253295,0.594942376,0.148655528,4.002154406,6.28E-05,0.010356772,4.20E+00
EPO,62.59294154,0.594175625,0.223392348,2.659785032,0.007819054,0.047783107,2.11E+00
MOG,337.2355943,0.593592392,0.213461261,2.780796799,0.005422567,0.042047671,2.27E+00
CRYAB,2790.180116,0.59091051,0.261231059,2.262022409,0.023696019,0.07528724,1.63E+00
TNFRSF12A,32.92959764,0.584856719,0.228109178,2.563933313,0.010349343,0.053091315,1.99E+00
LRRC25,37.45126254,0.580706027,0.25644893,2.264411969,0.023548789,0.07528724,1.63E+00
SMYD1,78.43204526,0.576322059,0.187206762,3.07853228,0.00208023,0.037308471,2.68E+00
MAN2B1,90.99329255,0.571294576,0.222711625,2.565176277,0.01031234,0.053091315,1.99E+00
CDC42EP2,77.15703659,0.569593706,0.129987262,4.381919401,1.18E-05,0.00807453,4.93E+00
P2RX4,40.70818147,0.569325633,0.230161134,2.473595884,0.013376091,0.057177589,1.87E+00
NCF1,118.0881842,0.5684325,0.234908227,2.419806688,0.01552876,0.061889985,1.81E+00
GABRR3,59.72033534,0.568409932,0.212657174,2.672893288,0.007520017,0.047000105,2.12E+00
NTRK1,29.23875506,0.566096403,0.276141659,2.050021739,0.04036231,0.103734908,1.39E+00
NPAS4,47.07789751,0.562236856,0.219801792,2.557926631,0.010529831,0.053295155,1.98E+00
SLC6A3,21.82309721,0.559093171,0.24496297,2.282357903,0.022468219,0.074145121,1.65E+00
AGER,11.65661956,0.558864898,0.213593254,2.61649134,0.008883862,0.050147391,2.05E+00
TNFRSF1B,28.60604899,0.557174165,0.359717851,1.548919975,0.121400959,0.202744516,9.16E-01
UBE2N,12.28732754,0.55543792,0.223242524,2.488047125,0.012844671,0.056068009,1.89E+00
CHRM5,79.37858452,0.554127385,0.187147821,2.960907487,0.003067341,0.040999561,2.51E+00
PLA2G4E,50.99156422,0.553865666,0.209371885,2.645367913,0.008160214,0.048609973,2.09E+00
FASLG,35.27207714,0.549707371,0.185566969,2.962312594,0.003053376,0.040999561,2.52E+00
GPR37,253.6621993,0.548913338,0.172560689,3.180987175,0.001467741,0.036122433,2.83E+00
CASP1,74.64163826,0.547138831,0.192623943,2.840450793,0.004504982,0.041856857,2.35E+00
NGF,43.87566185,0.546981147,0.192627984,2.839572612,0.004517401,0.041856857,2.35E+00
ERBB3,60.69046967,0.540440001,0.170716689,3.165712762,0.001547035,0.036122433,2.81E+00
DCD,47.6316374,0.53414247,0.19470107,2.743397713,0.006080699,0.04277305,2.22E+00
TMEM119,73.35380934,0.533718881,0.248842755,2.14480378,0.031968539,0.088503505,1.50E+00
NAPSA,72.04051941,0.53175388,0.213024188,2.496213615,0.012552698,0.055379552,1.90E+00
SOX10,82.03063267,0.530992514,0.171430637,3.097419005,0.001952137,0.037135876,2.71E+00
CHAT,30.89598021,0.530108802,0.210548273,2.517754219,0.01181057,0.054131781,1.93E+00
PSMB9,129.5993462,0.529194033,0.172681517,3.064566728,0.002179855,0.037921861,2.66E+00
MMP19,39.85642494,0.528800952,0.221458172,2.387814129,0.016948911,0.064092058,1.77E+00
CA2,248.6587677,0.527164576,0.382765478,1.377252145,0.168434305,0.258767787,7.74E-01
CD4,42.50693552,0.526190699,0.287245129,1.83185247,0.066973403,0.140236187,1.17E+00
CASP6,107.4278816,0.525486681,0.181439081,2.89621551,0.003776929,0.040999561,2.42E+00
TNF,58.34012425,0.520573661,0.213495124,2.438339814,0.014754896,0.059983382,1.83E+00
ITGAM,56.90841925,0.520114875,0.20038914,2.59552426,0.009444674,0.050716463,2.02E+00
GPR84,57.22045517,0.519140586,0.207629858,2.50031759,0.012408201,0.055188542,1.91E+00
CTAGE1,74.6577243,0.517795033,0.20215334,2.561397373,0.010425204,0.053091315,1.98E+00
NQO1,129.1750649,0.511249762,0.136075825,3.757094705,0.000171897,0.017726925,3.76E+00
EFNA1,56.28281775,0.510963073,0.184464097,2.769986584,0.00560586,0.042047671,2.25E+00
