Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	3;3	3;3	3;3	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	3	3	3	21.7	21.7	21.7	21.397	184	184;228	3	2	3	3	2	1	1	0	23.867	329050	317570	361320	329990	328560	317730	198290	250310	165750	234630	267070	285350	211810	229620	307120	202370	329050	317570	361320	329990	328560	317730	198290	250310	165750	234630	267070	285350	211810	229620	307120	202370	13	13	13	13	13	13	13	13	13	12	13	13	13	13	13	13	508160000	13				0	1965;2719;6642	True;True;True	2012;2790;6804	5434;5435;5436;5437;5438;7510;7511;7512;7513;17974;17975;17976	6507;6508;6509;6510;6511;8922;8923;8924;8925;8926;21373;21374;21375	6509;8925;21374			9606;9606
Q13509;A0A0B4J269	Q13509;A0A0B4J269	7;7	2;2	1;1	Tubulin beta-3 chain	TUBB3	sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	7	2	1	19.6	4.4	1.8	50.432	450	450;797	3.6		1	1	2	1		0	12.274	87261	152680	80810	112390	81494	108850	85953	75468	72941	127470	80059	58467	148260	123860	131920	84993	87261	152680	80810	112390	81494	108850	85953	75468	72941	127470	80059	58467	148260	123860	131920	84993	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	285700000	5				1	381;483;2140;2341;2679;3603;6336	False;False;True;False;False;False;True	382;383;484;2191;2400;2748;3693;6493	993;994;995;996;997;998;999;1000;1001;1002;1003;1248;1249;1250;1251;1252;1253;5891;5892;5893;6437;7388;7389;7390;7391;7392;7393;7394;7395;7396;9993;17161;17162	1176;1177;1178;1179;1180;1181;1182;1183;1184;1185;1186;1187;1188;1189;1190;1474;1475;1476;1477;1478;1479;1480;1481;7039;7040;7041;7663;8778;8779;8780;8781;8782;8783;8784;8785;8786;11887;11888;20394;20395	1176;1475;7040;7663;8784;11888;20394	0;1;2;3	73;257;293;330	9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	1;1	1;1	1;1	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	1	1	1	2.9	2.9	2.9	34.945	340	340;359	5.25				1	1	2	0	5.9446	11047	8909.9	14935	8358.9	13661	8595.7	13786	7593.2	8572.8	13267	5739.2	13418	10370	14014	9544	9741.7	11047	8909.9	14935	8358.9	13661	8595.7	13786	7593.2	8572.8	13267	5739.2	13418	10370	14014	9544	9741.7	6	5	6	5	6	5	5	5	5	6	4	5	5	6	5	5	74830000	6				2	6243	True	6399	16903;16904;16905;16906	20090;20091;20092;20093;20094;20095	20094			9606;9606
P07339;A0A1B0GU03	P07339;A0A1B0GU03	7;7	7;7	7;7	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1;tr|A0A1B0GU03|A0A1B0GU03_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	7	7	7	23.3	23.3	23.3	44.552	412	412;582	2.53	6	3	2	1	2	1	0	46.978	141270	217510	168010	284480	270410	160980	99232	111240	145820	126940	227980	208150	182430	177150	176280	181360	141270	217510	168010	284480	270410	160980	99232	111240	145820	126940	227980	208150	182430	177150	176280	181360	15	15	15	16	15	15	14	15	16	15	16	14	15	15	15	15	282310000	16				3	375;1086;1601;2248;4105;4732;4823	True;True;True;True;True;True;True	376;1102;1636;2303;4206;4860;4954	975;976;2930;2931;2932;2933;4434;6173;6174;11288;11289;11290;12867;13099;13100	1157;1158;3463;3464;3465;3466;3467;5341;7356;7357;13397;13398;13399;15230;15484;15485	1157;3467;5341;7356;13397;15230;15484	4;5;6;7	201;246;301;326	9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	1;1	1;1	1;1	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	1	1	1	0.9	0.9	0.9	155.68	1409	1409;1792	1	1						0.0029455	3.5151	45259	43555	42082	45670	43675	34756	30326	27122	28685	48910	45092	38801	42847	42100	64635	46290	45259	43555	42082	45670	43675	34756	30326	27122	28685	48910	45092	38801	42847	42100	64635	46290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14438000	1				4	5088	True	5228	13752	16301	16301			9606;9606
P36507;A0A1B0GUL7	P36507;A0A1B0GUL7	1;1	1;1	1;1	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1;tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	1	1	1	3	3	3	44.424	400	400;405	4				1			0.00084962	5.1827	9719.1	10489	13865	14976	10470	11754	9596.3	9880.7	7172.9	9063.9	8106.9	10177	12116	7402.3	10030	13167	9719.1	10489	13865	14976	10470	11754	9596.3	9880.7	7172.9	9063.9	8106.9	10177	12116	7402.3	10030	13167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1				5	3479	True	3564	9654	11487	11487			9606;9606
A0A1W2PQS6	A0A1W2PQS6	4	4	0			tr|A0A1W2PQS6|A0A1W2PQS6_HUMAN RPS10-NUDT3 readthrough OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1	1	4	4	0	16.5	16.5	0	33.14	291	291	3.4	1		1	2	1		0	14.305	47588	24387	60656	35638	31812	28251	25463	26186	28231	41077	38739	52102	11342	30971	34457	34963	47588	24387	60656	35638	31812	28251	25463	26186	28231	41077	38739	52102	11342	30971	34457	34963	5	5	5	5	5	5	4	3	4	5	4	5	4	5	5	4	50899000	5				6	2522;4174;5097;6476	True;True;True;True	2589;4277;5238;6633	6948;11428;11429;13775;17503	8258;13546;13547;16326;20798	8258;13546;16326;20798	8	172	9606
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	1.3	1.3	1.3	102.36	921	921	1	1						0	13.857	1009.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				7	6259	True	6415	16962	20163	20163			9606
A0MZ66	A0MZ66	2	2	2	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	2	2	2	2.4	2.4	2.4	71.639	631	631	4.25			2	3	2	1	0	171.57	56373	63162	65324	58314	74600	73104	81755	101740	74611	41878	48777	54889	60446	49117	45038	61990	56373	63162	65324	58314	74600	73104	81755	101740	74611	41878	48777	54889	60446	49117	45038	61990	8	8	8	8	8	8	8	8	8	7	7	8	8	7	8	8	87886000	8				8	702;703	True;True	703;704	1846;1847;1848;1849;1850;1851;1852;1853	2199;2200;2201;2202;2203;2204;2205;2206	2203;2204			9606
A5A3E0;Q6S8J3;P0CG38;P0CG39;Q9BYX7;Q86YR6;B2RU33;A0A0A6YYL3;H3BUK9;A0JP26	A5A3E0;Q6S8J3;P0CG38;P0CG39	4;3;3;2;1;1;1;1;1;1	1;0;1;1;0;1;1;1;1;1	1;0;1;1;0;1;1;1;1;1	POTE ankyrin domain family member F;POTE ankyrin domain family member E;POTE ankyrin domain family member I;POTE ankyrin domain family member J	POTEF;POTEE;POTEI;POTEJ	sp|A5A3E0|POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2;sp|Q6S8J3|POTEE_HUMAN POTE ankyrin domain family member E OS=Homo sapiens OX=9606 GN=POTEE PE=2 SV=3;sp|P0CG38|POTEI_HUMAN POTE ankyrin domain family membe	10	4	1	1	4.3	0.8	0.8	121.44	1075	1075;1075;1075;1038;375;584;542;544;544;581	3			1				1	-2	6157.2	8466.5	8571.3	7475.5	8673.2	9234.8	13099	12939	7989.4	2957	5504.1	3541	6734	3824.5	4480.1	4590.1	6157.2	8466.5	8571.3	7475.5	8673.2	9234.8	13099	12939	7989.4	2957	5504.1	3541	6734	3824.5	4480.1	4590.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	+			9	322;734;4338;5600	False;False;True;False	324;735;4448;5740	816;817;818;819;820;821;822;823;1939;1940;11894;15095;15096;15097;15098;15099;15100;15101	976;977;978;979;980;981;982;983;984;2314;2315;14121;17863;17864;17865;17866;17867;17868;17869;17870;17871	981;2314;14121;17863	9	401	9606;9606;9606;9606;9606;9606;9606;9606;9606;9606
