Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P30042;A0A096LPI6	P30042;A0A096LPI6	2;2	2;2	2;2	ES1 protein homolog, mitochondrial	C21orf33	sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens OX=9606 GN=C21orf33 PE=1 SV=3;tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2	2	2	2	2	9.3	9.3	9.3	28.17	268	268;279	4.5			1	1	1	1	0	4.4537	29711	25746	24373	24506	20334	31213	37340	16635	33157	20315	104570	22795	27798	38504	27325	17932	29711	25746	24373	24506	20334	31213	37340	16635	33157	20315	104570	22795	27798	38504	27325	17932	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	20438000	4				0	2328;3149	True;True	2411;3258	6219;6220;8452;8453	7130;7131;9624;9625	7130;9625			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	3;3	3;3	3;3	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	3	3	3	21.7	21.7	21.7	21.397	184	184;228	3.56		2	3	2	1	1	0	12.211	129230	157950	139010	115760	172470	102490	95644	94025	88279	111720	63698	66291	130420	86750	91846	114410	129230	157950	139010	115760	172470	102490	95644	94025	88279	111720	63698	66291	130420	86750	91846	114410	7	9	7	9	9	9	9	9	8	8	10	9	10	9	8	9	96211000	10				1	2081;2885;7083	True;True;True	2154;2990;7299	5601;5602;5603;5604;7714;7715;18697;18698;18699	6438;6439;6440;6441;8798;8799;8800;21442;21443;21444	6441;8798;21443			9606;9606
Q13509;A0A0B4J269;Q9H4B7;CON__ENSEMBL:ENSBTAP00000025008	Q13509;A0A0B4J269	10;10;2;2	3;3;0;0	2;2;0;0	Tubulin beta-3 chain	TUBB3	sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	4	10	3	2	28.2	8.2	5.6	50.432	450	450;797;451;536	3.86		1	2	2	1	1	0	7.4568	57799	50264	40268	32345	44972	44667	65874	34615	60426	47779	193990	43183	43263	46441	32894	36157	57799	50264	40268	32345	44972	44667	65874	34615	60426	47779	193990	43183	43263	46441	32894	36157	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	144910000	7				2	385;500;2276;2486;2850;3508;3577;3843;4592;6743	False;False;True;False;False;False;False;False;True;True	388;389;505;506;2355;2576;2953;3629;3699;3976;4746;6951	1037;1038;1039;1040;1041;1042;1043;1319;1320;1321;1322;1323;1324;1325;1326;1327;6091;6092;6093;6631;6632;6633;7607;7608;7609;7610;7611;7612;7613;7614;9413;9581;9582;9583;10316;10317;12264;17819;17820;17821	1204;1205;1206;1207;1208;1209;1210;1211;1518;1519;1520;1521;1522;1523;1524;1525;1526;1527;1528;1529;1530;6989;6990;6991;7590;7591;7592;8674;8675;8676;8677;8678;8679;8680;8681;8682;10762;10952;10953;10954;11791;11792;11793;11794;14011;20428;20429;20430	1205;1529;6990;7590;8678;10762;10954;11794;14011;20429	0;1;2;3;4	73;257;293;330;388	9606;9606;9606;-1
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	4;4	4;4	4;4	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	17.1	17.1	17.1	34.945	340	340;359	4.25		1	3	3	2	3	0	37.875	117190	139540	107560	89054	88589	79206	79461	85330	49764	78652	84309	67310	87939	55269	73514	52720	117190	139540	107560	89054	88589	79206	79461	85330	49764	78652	84309	67310	87939	55269	73514	52720	16	16	16	14	16	16	15	16	15	14	16	14	16	15	15	13	156950000	16				3	328;1496;3143;6632	True;True;True;True	331;1544;3252;6839	868;4048;4049;4050;4051;8440;8441;17529;17530;17531;17532;17533	1015;4676;4677;4678;4679;9611;9612;20093;20094;20095;20096;20097;20098;20099;20100;20101	1015;4677;9612;20100			9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	3;3	3;3	3;3	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	3	3	3	2	2	2	155.68	1409	1409;1792	1.67	2		1				0	3.9254	24780	23813	20144	27550	24139	22490	22850	16860	14471	31592	12391	17790	24040	17077	18543	15252	24780	23813	20144	27550	24139	22490	22850	16860	14471	31592	12391	17790	24040	17077	18543	15252	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	18031000	3				4	5074;5351;5848	True;True;True	5247;5532;6031	13504;14189;15421	15439;16238;17622	15439;16238;17622			9606;9606
P36507;A0A1B0GUL7	P36507;A0A1B0GUL7	2;2	1;1	1;1	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1;tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	2	1	1	5.2	3	3	44.424	400	400;405	5.33					2	1	0	6.1368	15782	16262	19587	15855	14189	19355	15749	9872	16805	15602	14304	19440	12485	11121	16876	13351	15782	16262	19587	15855	14189	19355	15749	9872	16805	15602	14304	19440	12485	11121	16876	13351	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3				5	3730;5232	True;False	3857;5411	9994;9995;9996;13901	11415;11416;11417;15888	11416;15888			9606;9606
A0A1W2PQS6	A0A1W2PQS6	4	2	0			tr|A0A1W2PQS6|A0A1W2PQS6_HUMAN RPS10-NUDT3 readthrough OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1	1	4	2	0	16.5	6.2	0	33.14	291	291	2.5		1	1				0.0076442	1.4606	14721	12620	15850	14044	14347	8875.5	10732	13907	8203.4	11071	6661.9	6691.7	10027	5457.2	6801.4	6408.6	14721	12620	15850	14044	14347	8875.5	10732	13907	8203.4	11071	6661.9	6691.7	10027	5457.2	6801.4	6408.6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6427800	2				6	2887;4424;5362;6903	True;False;True;False	2992;4572;5544;7112	7717;11795;11796;11797;14225;18222;18223	8802;13451;13452;13453;16278;20889;20890	8802;13452;16278;20889	5	172	9606
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	1.3	1.3	1.3	102.36	921	921	2.5		1	1				0	8.544	0	1048	0	0	0	0	1254.9	0	0	0	944.05	0	0	0	0	0	0	1048	0	0	0	0	1254.9	0	0	0	944.05	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2				7	6647	True	6854	17588;17589	20167;20168	20168			9606
A0MZ66	A0MZ66	2	2	2	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	2	2	2	2.4	2.4	2.4	71.639	631	631	4.8				2	2	1	0	56.239	12241	17040	14004	12199	16862	14236	14270	13166	17024	9880.7	8424.4	11316	10224	8680.6	13790	14800	12241	17040	14004	12199	16862	14236	14270	13166	17024	9880.7	8424.4	11316	10224	8680.6	13790	14800	5	5	4	4	5	4	5	4	5	3	2	4	4	4	4	4	21539000	5				8	739;740	True;True	747;748	1944;1945;1946;1947;1948	2257;2258;2259;2260;2261	2258;2260			9606
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	3;3	3;3	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	2	3	3	1	22.4	22.4	11.2	14.688	125	125;125	3.18	3	2	1	2	1	2	0	6.0375	73026	167390	79669	94990	97404	188870	144220	56984	105410	134960	56211	107190	120530	205090	99490	134040	73026	167390	79669	94990	97404	188870	144220	56984	105410	134960	56211	107190	120530	205090	99490	134040	14	14	13	13	14	15	14	12	13	13	13	13	14	14	14	14	211130000	15				9	2467;3533;4985	True;True;True	2554;2555;3654;5155	6588;6589;6590;6591;6592;6593;6594;9464;9465;13294;13295	7540;7541;7542;7543;7544;7545;7546;7547;7548;10814;10815;10816;15211;15212;15213	7543;10816;15212	6	60	9606;9606
