Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q6ZSZ5;A0A087WZG4	Q6ZSZ5;A0A087WZG4	1;1	1;1	1;1	Rho guanine nucleotide exchange factor 18	ARHGEF18	sp|Q6ZSZ5|ARHGI_HUMAN Rho guanine nucleotide exchange factor 18 OS=Homo sapiens OX=9606 GN=ARHGEF18 PE=1 SV=3;tr|A0A087WZG4|A0A087WZG4_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=2	2	1	1	1	1	1	1	130.78	1173	1173;1122	3			1				0.0056589	6.3312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2852000	1				0	3126	True	3144	8279	9137	9137			9606;9606
P07919;A0A096LP55	P07919;A0A096LP55	1;1	1;1	1;1	Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6	UQCRH;UQCRHL	sp|P07919|QCR6_HUMAN Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2;sp|A0A096LP55|QCR6L_HUMAN Cytochrome b-c1 complex subunit 6-like, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRHL PE=3 SV=1	2	1	1	1	8.8	8.8	8.8	10.739	91	91;91	6						1	0.0063391	6.2197	3703.8	5198	3177.3	2702.7	3393.8	14080	3896.5	4311.2	3027.3	4755.4	6799.7	4059.8	4359.7	4348	2677.3	3534.9	3703.8	5198	3177.3	2702.7	3393.8	14080	3896.5	4311.2	3027.3	4755.4	6799.7	4059.8	4359.7	4348	2677.3	3534.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6110300	1				1	1584	True	1595	4134	4542	4542			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	3;3	3;3	3;3	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	3	3	3	21.7	21.7	21.7	21.397	184	184;228	4.12			3	2	2	1	0	26.357	83394	99582	107360	89160	87895	94521	96089	106640	99353	72848	76729	85197	91040	81266	86372	90360	83394	99582	107360	89160	87895	94521	96089	106640	99353	72848	76729	85197	91040	81266	86372	90360	7	7	8	8	8	7	8	8	8	8	7	8	8	7	8	8	146700000	8				2	1602;2171;5175	True;True;True	1613;2187;5193	4172;4173;4174;4175;5718;13644;13645;13646	4582;4583;4584;4585;6260;15090;15091;15092	4585;6260;15092			9606;9606
Q13509;A0A0B4J269;Q9BUF5	Q13509;A0A0B4J269	6;6;2	1;1;1	1;1;1	Tubulin beta-3 chain	TUBB3	sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	3	6	1	1	17.8	2.7	2.7	50.432	450	450;797;446	5				1	1	1	0.0018051	7.2382	13223	16698	17435	21718	19755	12685	19476	13382	22283	23330	12254	24046	24893	24591	26523	20899	13223	16698	17435	21718	19755	12685	19476	13382	22283	23330	12254	24046	24893	24591	26523	20899	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	26151000	3				3	322;410;1737;2143;2670;2845	False;False;True;False;False;False	322;323;411;1750;2159;2687;2862	838;839;840;841;842;843;844;845;846;847;848;849;850;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;4497;4498;4499;5619;7084;7577;7578	907;908;909;910;911;912;913;914;915;916;917;918;919;920;921;922;923;924;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197;1198;1199;1200;4930;4931;4932;6149;7792;8359;8360	913;1189;4931;6149;7792;8359	0;1;2;3	73;257;293;330	9606;9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	3;3	3;3	3;3	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	3	3	3	7.6	7.6	7.6	34.945	340	340;359	5.17			1		2	3	0	26.851	24196	29586	24612	23456	20683	39861	32251	28755	13536	36273	15073	30026	19613	17303	23392	17338	24196	29586	24612	23456	20683	39861	32251	28755	13536	36273	15073	30026	19613	17303	23392	17338	5	6	6	5	5	6	6	6	5	6	5	6	4	6	5	5	94602000	6				4	1179;2383;4874	True;True;True	1186;2399;4891	3098;3099;6338;12820;12821;12822	3422;3423;6934;14177;14178;14179	3423;6934;14178			9606;9606
Q15323;O76014;CON__O76014;A0A140TA62;CON__Q8IUT8;CON__Q9UE12;CON__O76011;CON__A2A5Y0;CON__Q6NTB9;CON__Q9D646;CON__O76009;CON__REFSEQ:XP_986630;CON__Q15323;Q14525;O76009;O76011;Q14532;CON__Q14525	Q15323;O76014;CON__O76014;A0A140TA62;CON__Q8IUT8;CON__Q9UE12;CON__O76011;CON__A2A5Y0;CON__Q6NTB9;CON__Q9D646;CON__O76009;CON__REFSEQ:XP_986630;CON__Q15323;Q14525;O76009;O76011;Q14532;CON__Q14525	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Keratin, type I cuticular Ha1;Keratin, type I cuticular Ha7;Keratin, type I cuticular Ha3-II;Keratin, type I cuticular Ha3-I;Keratin, type I cuticular Ha4;Keratin, type I cuticular Ha2	KRT31;KRT37;KRT33B;KRT33A;KRT34;KRT32	sp|Q15323|K1H1_HUMAN Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3;sp|O76014|KRT37_HUMAN Keratin, type I cuticular Ha7 OS=Homo sapiens OX=9606 GN=KRT37 PE=1 SV=3;;tr|A0A140TA62|A0A140TA62_HUMAN Uncharacterized protein OS=Homo sap	18	1	1	1	1.9	1.9	1.9	47.237	416	416;449;471;436;436;416;394;416;404;392;404;476;416;404;404;436;448;404	3.5			1	1			0.0018232	7.3981	4163.5	3458.7	36213	4378.8	5404.6	3318	1936.1	3578.1	2474.6	2911.4	2423.3	2423.3	12407	0	2403.3	1183.2	4163.5	3458.7	36213	4378.8	5404.6	3318	1936.1	3578.1	2474.6	2911.4	2423.3	2423.3	12407	0	2403.3	1183.2	2	2	2	2	2	2	1	2	2	2	2	1	2	0	1	1	6792400	2			+	5	4457	True	4475	11728;11729	12895;12896	12895			9606;9606;-1;9606;-1;-1;-1;-1;-1;-1;-1;-1;-1;9606;9606;9606;9606;-1
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	1;1	1;1	1;1	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	1	1	1	0.9	0.9	0.9	155.68	1409	1409;1792	2	1	1	1				0	23.353	39867	36748	34519	39584	25271	30736	35134	33910	26032	37213	17988	26362	29920	26622	20217	28279	39867	36748	34519	39584	25271	30736	35134	33910	26032	37213	17988	26362	29920	26622	20217	28279	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	22550000	3				6	3901	True	3920	10274;10275;10276	11337;11338;11339	11337			9606;9606
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	1.8	1.8	1.8	102.36	921	921	3.5			1	1			0.0019066	8.1392	0	0	0	1163.1	0	0	939.32	0	0	0	0	0	0	0	881.47	0	0	0	0	1163.1	0	0	939.32	0	0	0	0	0	0	0	881.47	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2504600	2				7	4923	True	4940	12947;12948	14315;14316	14315	4	629	9606
A0MZ66	A0MZ66	2	2	2	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	2	2	2	3.8	3.8	3.8	71.639	631	631	4.67			1		1	1	0	58.915	2648.6	4921.7	3193	3143	3393.3	3030.2	1770.9	2743.1	2843.4	1702	2210.1	2742.2	1516.6	3921.7	3195.6	2919.8	2648.6	4921.7	3193	3143	3393.3	3030.2	1770.9	2743.1	2843.4	1702	2210.1	2742.2	1516.6	3921.7	3195.6	2919.8	1	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	17296000	3				8	618;3283	True;True	620;3301	1621;1622;8672	1766;1767;9554	1766;9554			9606
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	2;2	1;1	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	2	2	1	1	16.8	11.2	11.2	14.688	125	125;125	3.4		1	2	1	1		0.0019212	8.384	20712	38210	24954	31523	26557	7579.1	28971	42760	44988	28396	21031	33670	35729	45931	60804	39933	20712	38210	24954	31523	26557	7579.1	28971	42760	44988	28396	21031	33670	35729	45931	60804	39933	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	28436000	6				9	1864;2638	True;False	1879;2655	4819;4820;4821;4822;4823;7016	5276;5277;5278;5279;5280;5281;7718	5278;7718	5	60	9606;9606
