Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P50151;A0A024R161	P50151;A0A024R161	1;1	1;1	1;1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10;Guanine nucleotide-binding protein subunit gamma	GNG10;hCG_1994888	sp|P50151|GBG10_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1;tr|A0A024R161|A0A024R161_HUMAN Guanine nucleotide-binding protein subunit gamma OS=Homo sapiens OX=9606 GN=DNAJC25-GNG10 PE=	2	1	1	1	22.1	22.1	22.1	7.2053	68	68;153	1.5	1	1					0.00061576	2.3895	18280	19003	28368	13830	24703	22083	10734	12223	13754	5656.8	18080	11101	14685	14226	17385	13095	18280	19003	28368	13830	24703	22083	10734	12223	13754	5656.8	18080	11101	14685	14226	17385	13095	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	11547000	3				0	1075	True	1083	2935;2936	3356;3357;3358	3357			9606;9606
P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615	P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Ig kappa chain V-II region Cum;Ig kappa chain V-II region RPMI 6410;Ig kappa chain V-II region FR	IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29;IGKV2D-28;IGKV2-40	sp|P01614|KVD40_HUMAN Immunoglobulin kappa variable 2D-40 OS=Homo sapiens OX=9606 GN=IGKV2D-40 PE=1 SV=2;sp|A2NJV5|KV229_HUMAN Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=3 SV=2;sp|A0A0A0MRZ7|KVD26_HUMAN Immunoglobulin kappa v	9	1	1	1	10.7	10.7	10.7	13.31	121	121;120;120;120;120;120;121;120;120	1	1						0.0072911	1.8996	15301	13122	16206	9017.8	17877	7496.9	10786	6949.2	14023	10690	20282	15101	19835	11497	17176	13947	15301	13122	16206	9017.8	17877	7496.9	10786	6949.2	14023	10690	20282	15101	19835	11497	17176	13947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13648000	1				1	3077	True	3136	8508	9761	9761			9606;9606;9606;9606;9606;9606;9606;9606;9606
P07919;A0A096LP55	P07919;A0A096LP55	1;1	1;1	1;1	Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6	UQCRH;UQCRHL	sp|P07919|QCR6_HUMAN Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2;sp|A0A096LP55|QCR6L_HUMAN Cytochrome b-c1 complex subunit 6-like, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRHL PE=3 SV=1	2	1	1	1	8.8	8.8	8.8	10.739	91	91;91	6						1	0.00063291	2.5992	10745	11838	9664.5	11591	11796	8848.9	9053.3	11295	7847.3	9622	9541.8	9942.7	10653	10075	12891	9710.9	10745	11838	9664.5	11591	11796	8848.9	9053.3	11295	7847.3	9622	9541.8	9942.7	10653	10075	12891	9710.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18298000	1				2	2530	True	2577	7036	8115	8115			9606;9606
P30042;A0A096LPI6	P30042;A0A096LPI6	2;2	2;2	2;2	ES1 protein homolog, mitochondrial	C21orf33	sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens OX=9606 GN=C21orf33 PE=1 SV=3;tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2	2	2	2	2	9.3	9.3	9.3	28.17	268	268;279	3.33			2	1			0	3.8102	171810	135660	139260	141840	186540	156760	120900	110830	154110	123340	149070	168380	118060	158440	170930	139680	171810	135660	139260	141840	186540	156760	120900	110830	154110	123340	149070	168380	118060	158440	170930	139680	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	68375000	3				3	2823;3820	True;True	2875;3887	7842;10685;10686	9021;12228;12229	9021;12228			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	3;3	3;3	3;3	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	3	3	3	21.7	21.7	21.7	21.397	184	184;228	2.5	3	2	3	1	1		0	38.414	800100	963990	536750	872170	600290	320010	556700	511970	783990	587090	796830	1095000	999260	1192300	600620	815310	800100	963990	536750	872170	600290	320010	556700	511970	783990	587090	796830	1095000	999260	1192300	600620	815310	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	496450000	10				4	2552;3521;8557	True;True;True	2599;3586;8690	7106;7107;9799;9800;9801;9802;9803;23639;23640;23641	8199;8200;11232;11233;11234;11235;11236;27021;27022;27023	8200;11234;27023			9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	4;4	4;4	4;4	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	17.1	17.1	17.1	34.945	340	340;359	4		1	3	3	3	1	0	14.525	294760	453840	331670	371110	236130	197970	275940	282450	258280	156400	401630	460520	408130	626700	332670	220490	294760	453840	331670	371110	236130	197970	275940	282450	258280	156400	401630	460520	408130	626700	332670	220490	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	777240000	13				5	419;1841;3816;8051	True;True;True;True	422;1875;3883;8175	1159;5167;5168;5169;10671;22214;22215;22216;22217;22218;22219	1360;5978;5979;5980;12214;25395;25396;25397;25398;25399;25400;25401;25402	1360;5979;12214;25397			9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	4;4	4;4	4;4	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	3	3	3	155.68	1409	1409;1792	1.5	3		1				0	20.908	42272	56742	50781	60307	41503	26643	83441	54549	56700	27127	82358	123610	51429	81406	98308	33187	42272	56742	50781	60307	41503	26643	83441	54549	56700	27127	82358	123610	51429	81406	98308	33187	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	52140000	4				6	6149;6516;6999;8127	True;True;True;True	6252;6627;7116;8251	17111;18060;19351;22411	19591;20697;22145;25619	19591;20697;22145;25619			9606;9606
A0A1W2PQS6	A0A1W2PQS6	4	4	0			tr|A0A1W2PQS6|A0A1W2PQS6_HUMAN RPS10-NUDT3 readthrough OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1	1	4	4	0	16.5	16.5	0	33.14	291	291	4		1	1	3	1	1	0	10.467	129780	85031	118680	115200	101680	84219	88100	96459	113330	82309	133260	118220	125000	109200	85200	95481	129780	85031	118680	115200	101680	84219	88100	96459	113330	82309	133260	118220	125000	109200	85200	95481	7	7	7	7	7	7	5	7	7	6	7	7	7	7	7	6	227720000	7				7	3283;3523;5373;8342	True;True;True;True	3346;3588;5460;8469	9070;9806;14981;14982;14983;23014;23015	10401;11239;17172;17173;17174;26301;26302	10401;11239;17174;26301	0	172	9606
A0MZ66	A0MZ66	1	1	1	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	1	1	1	2.2	2.2	2.2	71.639	631	631	4.5			1	1	1	1	0	37.859	27060	32841	20215	23275	20694	23168	28866	38496	27558	16328	22986	20664	33170	23896	32501	26491	27060	32841	20215	23275	20694	23168	28866	38496	27558	16328	22986	20664	33170	23896	32501	26491	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	124440000	4				8	898	True	902	2432;2433;2434;2435	2793;2794;2795;2796	2794			9606
A5PKW4	A5PKW4	1	1	1	PH and SEC7 domain-containing protein 1	PSD	sp|A5PKW4|PSD1_HUMAN PH and SEC7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PSD PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	109.54	1024	1024	2.5		1	1				0.00783	1.8872	31790	33794	25409	44712	27993	23469	27165	22909	34314	41968	18037	23639	29164	20184	33462	37068	31790	33794	25409	44712	27993	23469	27165	22909	34314	41968	18037	23639	29164	20184	33462	37068	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	35940000	2				9	1856	True	1890	5195;5196	6007;6008	6007			9606
