Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P50151;A0A024R161	P50151;A0A024R161	1;1	1;1	1;1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10;Guanine nucleotide-binding protein subunit gamma	GNG10;hCG_1994888	sp|P50151|GBG10_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1;tr|A0A024R161|A0A024R161_HUMAN Guanine nucleotide-binding protein subunit gamma OS=Homo sapiens OX=9606 GN=DNAJC25-GNG10 PE=	2	1	1	1	22.1	22.1	22.1	7.2053	68	68;153	1	1						0.002772	2.6604	0	0	933.97	0	0	945.24	810.11	0	0	0	0	0	0	0	0	0	933.97	0	0	945.24	810.11	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	312710	1				0	902	True	905	2289	2451	2451			9606;9606
P30042;A0A096LPI6	P30042;A0A096LPI6	2;2	2;2	2;2	ES1 protein homolog, mitochondrial	C21orf33	sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens OX=9606 GN=C21orf33 PE=1 SV=3;tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2	2	2	2	2	9.3	9.3	9.3	28.17	268	268;279	3.5			1	1			0	4.6509	28962	17871	22498	20573	23095	15613	18176	14373	12010	18118	13733	18941	14042	18094	28962	17871	22498	20573	23095	15613	18176	14373	12010	18118	13733	18941	14042	18094	2	2	2	2	2	2	2	2	2	2	2	2	2	2	17169000	2				1	2282;3101	True;True	2334;3166	5895;8039	6381;8674	6381;8674			9606;9606
A0A0A0MRZ8;P04433	A0A0A0MRZ8;P04433	1;1	1;1	1;1	Ig kappa chain V-III region VG	IGKV3D-11	sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1	2	1	1	1	7.8	7.8	7.8	12.625	115	115;115	2	1	1	1				0.0034176	2.5536	33574	15071	31712	10715	22170	6309.3	15976	4646.1	24111	7919.4	9608.2	24136	8437.7	12823	33574	15071	31712	10715	22170	6309.3	15976	4646.1	24111	7919.4	9608.2	24136	8437.7	12823	3	3	3	3	3	2	3	2	3	3	3	3	3	3	15702000	3				2	4035	True	4118	10409;10410;10411	11275;11276;11277	11276			9606;9606
Q7Z6K5;A0A0A6YYH1	Q7Z6K5;A0A0A6YYH1	1;1	1;1	1;1	Arpin	ARPIN;C15orf38-AP3S2	sp|Q7Z6K5|ARPIN_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;tr|A0A0A6YYH1|A0A0A6YYH1_HUMAN Protein C15orf38-AP3S2 OS=Homo sapiens OX=9606 GN=C15orf38-AP3S2 PE=4 SV=1	2	1	1	1	5.3	5.3	5.3	24.943	226	226;394	2.5		1	1				0	5.0175	6587.8	7813.5	5838.1	5082	5429.4	3163.6	8358.5	7111.3	5541.8	4287	5013	4833.2	4664	5957.9	6587.8	7813.5	5838.1	5082	5429.4	3163.6	8358.5	7111.3	5541.8	4287	5013	4833.2	4664	5957.9	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2				3	2898	True	2963	7531;7532	8123;8124	8123			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	4;4	4;4	4;4	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	4	4	4	26.6	26.6	26.6	21.397	184	184;228	3.29	1	4	3	3	2	1	0	56.034	163260	150200	186960	277380	180540	268770	370800	168590	216620	217670	270030	305930	295260	282370	163260	150200	186960	277380	180540	268770	370800	168590	216620	217670	270030	305930	295260	282370	14	15	14	15	13	15	14	13	14	13	15	13	16	14	221390000	16				4	2053;2835;4491;6942	True;True;True;True	2097;2898;4580;7060	5341;5342;5343;5344;5345;7325;7326;7327;7328;7329;11525;11526;17718;17719	5782;5783;5784;5785;5786;5787;7887;7888;7889;7890;7891;7892;12489;12490;19211;19212	5787;7891;12490;19212			9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	4;4	4;4	4;4	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	17.1	17.1	17.1	34.945	340	340;359	4.12		1	2	2	1	2	0	19.885	12078	7837.7	12172	18155	8699.9	21158	7096.7	12097	10076	19443	19808	14201	21612	15525	12078	7837.7	12172	18155	8699.9	21158	7096.7	12097	10076	19443	19808	14201	21612	15525	6	5	6	7	5	6	4	6	5	7	6	5	5	7	75806000	8				5	340;1494;3097;6511	True;True;True;True	340;1524;3162;6624	865;3879;8029;16600;16601;16602;16603;16604	932;4187;8664;18015;18016;18017;18018;18019	932;4187;8664;18016			9606;9606
P36507;A0A1B0GUL7	P36507;A0A1B0GUL7	1;1	1;1	1;1	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1;tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	1	1	1	3	3	3	44.424	400	400;405	5				1	1	1	0	12.784	8359.7	8696.4	8418.6	15733	9443.9	10732	7823.8	12587	7297.2	7581.2	11791	8543.7	11256	11145	8359.7	8696.4	8418.6	15733	9443.9	10732	7823.8	12587	7297.2	7581.2	11791	8543.7	11256	11145	3	3	3	3	3	3	3	3	2	3	3	3	3	3	5096600	3				6	3655	True	3728	9458;9459;9460	10250;10251;10252	10252			9606;9606
A0MZ66	A0MZ66	4	4	4	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	4	4	4	5.7	5.7	5.7	71.639	631	631	4.33		1	1	3	2	2	0	87.561	14730	21375	21185	20067	18401	24114	15495	33526	34137	29012	41745	17152	23954	30853	14730	21375	21185	20067	18401	24114	15495	33526	34137	29012	41745	17152	23954	30853	6	9	9	9	8	8	7	8	9	7	8	8	9	9	74772000	9				7	748;749;1528;2572	True;True;True;True	750;751;1559;2630	1899;1900;1901;1902;1903;1904;3963;6630;6631	2048;2049;2050;2051;2052;2053;4276;7152;7153	2049;2053;4276;7153			9606
A1L188	A1L188	2	2	2	Uncharacterized protein C17orf89	C17orf89	sp|A1L188|NDUF8_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Homo sapiens OX=9606 GN=NDUFAF8 PE=1 SV=1	1	2	2	2	32.4	32.4	32.4	7.7558	74	74	2.33		2	1				0	10.136	3549.4	5693.6	1960.9	1530.5	3895	1166.9	0	2460.9	0	0	2139.6	7001.8	2476.5	5913.3	3549.4	5693.6	1960.9	1530.5	3895	1166.9	0	2460.9	0	0	2139.6	7001.8	2476.5	5913.3	3	3	2	1	3	1	0	2	0	0	2	3	2	3	48233000	3				8	874;3710	True;True	875;3785	2208;9581;9582	2367;10380;10381	2367;10380			9606
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	3;3	1;1	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	2	3	1	1	22.4	11.2	11.2	14.688	125	125;125	3.8	1		1	1	1	1	0	6.922	51068	63529	43884	46173	45755	43171	24435	39231	29670	34951	50531	62354	65831	69671	51068	63529	43884	46173	45755	43171	24435	39231	29670	34951	50531	62354	65831	69671	5	5	5	5	5	4	5	5	5	4	5	5	5	5	51757000	5				9	2421;3462;4859	True;False;False	2474;3532;4956	6235;6236;6237;6238;6239;8993;8994;8995;12477;12478	6736;6737;6738;6739;6740;9755;9756;9757;9758;13526;13527	6740;9758;13527	0	60	9606;9606
