Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P50151;A0A024R161	P50151;A0A024R161	1;1	1;1	1;1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10;Guanine nucleotide-binding protein subunit gamma	GNG10;hCG_1994888	sp|P50151|GBG10_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1;tr|A0A024R161|A0A024R161_HUMAN Guanine nucleotide-binding protein subunit gamma OS=Homo sapiens OX=9606 GN=DNAJC25-GNG10 PE=	2	1	1	1	22.1	22.1	22.1	7.2053	68	68;153	1.5	1	1					0.0014245	7.4374	1481.7	2449.5	2804.9	1854.7	2164.9	1652.6	908.32	2440.6	1095.1	1316.1	0	3151.8	1698.1	1390.9	1672.7	1305.2	1481.7	2449.5	2804.9	1854.7	2164.9	1652.6	908.32	2440.6	1095.1	1316.1	0	3151.8	1698.1	1390.9	1672.7	1305.2	1	1	2	1	1	2	1	2	1	1	0	2	1	1	1	1	1349600	2				0	917	True	919	2310;2311	2517;2518	2517			9606;9606
P30042;A0A096LPI6	P30042;A0A096LPI6	2;2	2;2	2;2	ES1 protein homolog, mitochondrial	C21orf33	sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens OX=9606 GN=C21orf33 PE=1 SV=3;tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2	2	2	2	2	9.3	9.3	9.3	28.17	268	268;279	3			2				0	12.134	17446	28358	16796	15727	16313	15585	12970	13129	18542	22537	19465	28270	14569	17240	38719	14175	17446	28358	16796	15727	16313	15585	12970	13129	18542	22537	19465	28270	14569	17240	38719	14175	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	23614000	2				1	2403;3221	True;True	2457;3292	6050;8167	6563;8824	6563;8824			9606;9606
A0A0A0MRZ8;P04433	A0A0A0MRZ8;P04433	1;1	1;1	1;1	Ig kappa chain V-III region VG	IGKV3D-11	sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1	2	1	1	1	7.8	7.8	7.8	12.625	115	115;115	1	1						0.0033179	6.5611	5587.3	4230.3	6012.2	3784.7	6251.3	2997	5622.9	1194.1	7303.6	2508.7	3664.4	3463.1	1844.8	2326.5	9758.7	1133.2	5587.3	4230.3	6012.2	3784.7	6251.3	2997	5622.9	1194.1	7303.6	2508.7	3664.4	3463.1	1844.8	2326.5	9758.7	1133.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2023500	1				2	4190	True	4281	10588	11478	11478			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	4;4	4;4	4;4	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	4	4	4	26.6	26.6	26.6	21.397	184	184;228	3.57	2	2	3	3	1	3	0	29.202	157090	193030	132590	122290	208750	219200	164510	171910	199510	191050	145190	162840	165410	196070	120260	163030	157090	193030	132590	122290	208750	219200	164510	171910	199510	191050	145190	162840	165410	196070	120260	163030	11	14	10	9	12	12	14	12	13	12	11	12	12	12	11	12	195540000	15				3	2158;2953;4630;7274	True;True;True;True	2204;3019;4734;7412	5458;5459;5460;7468;7469;7470;7471;7472;7473;11650;11651;11652;11653;18127	5937;5938;5939;8065;8066;8067;8068;8069;8070;8071;12620;12621;12622;12623;19640	5938;8068;12623;19640			9606;9606
Q13509;A0A0B4J269	Q13509;A0A0B4J269	7;7	2;2	1;1	Tubulin beta-3 chain	TUBB3	sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	7	2	1	19.6	4.4	1.8	50.432	450	450;797	4		1	1	1	1	1	0	12.827	49349	92795	38756	44472	50088	45040	51869	54264	48874	59632	64714	70599	48457	49871	54911	50049	49349	92795	38756	44472	50088	45040	51869	54264	48874	59632	64714	70599	48457	49871	54911	50049	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	133050000	5				4	425;526;2363;2548;2914;3921;6953	False;False;True;False;False;False;True	423;424;524;2415;2605;2978;4004;7086	1099;1100;1101;1102;1103;1104;1331;1332;1333;5946;6387;7362;7363;7364;7365;7366;9956;9957;17309;17310;17311;17312	1196;1197;1198;1199;1200;1201;1440;1441;1442;6455;6915;7948;7949;7950;7951;7952;10795;10796;10797;18765;18766;18767;18768	1201;1442;6455;6915;7951;10797;18767	0;1;2;3	73;257;293;330	9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	4;4	4;4	4;4	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	17.1	17.1	17.1	34.945	340	340;359	3.5	1	2	2	2	2	1	0	31.154	69684	69479	69201	75759	60123	123420	65056	104940	65739	82511	79956	76329	83218	80000	41987	82562	69684	69479	69201	75759	60123	123420	65056	104940	65739	82511	79956	76329	83218	80000	41987	82562	9	9	8	10	9	10	9	9	9	10	8	9	8	8	8	9	123880000	10				5	367;1562;3217;6859	True;True;True;True	366;1593;3288;6991	935;3958;3959;3960;3961;8153;8154;17071;17072;17073	1017;4324;4325;4326;4327;8809;8810;18505;18506;18507	1017;4326;8810;18507			9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	4;4	4;4	4;4	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	4	4	4	2.8	2.8	2.8	155.68	1409	1409;1792	1.88	3	3	2				0	31.533	251700	227930	246970	243630	216200	263010	239360	268510	284010	292650	304660	290360	239820	244630	252840	230660	251700	227930	246970	243630	216200	263010	239360	268510	284010	292650	304660	290360	239820	244630	252840	230660	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	144500000	8				6	5132;5155;5543;5965	True;True;True;True	5248;5271;5668;6090	12913;12914;12970;12971;12972;13840;13841;14862	13976;13977;14035;14036;14037;15000;15001;16097	13977;14035;15001;16097			9606;9606
P36507;A0A1B0GUL7	P36507;A0A1B0GUL7	1;1	1;1	1;1	Dual specificity mitogen-activated protein kinase kinase 2	MAP2K2	sp|P36507|MP2K2_HUMAN Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1;tr|A0A1B0GUL7|A0A1B0GUL7_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	1	1	1	3	3	3	44.424	400	400;405	3			1				0.001514	9.9239	7669.1	9124	9657	10282	5143.3	8036.8	6371.9	9035.5	7733.5	9874.4	7614.8	11484	10864	10622	7482.1	10099	7669.1	9124	9657	10282	5143.3	8036.8	6371.9	9035.5	7733.5	9874.4	7614.8	11484	10864	10622	7482.1	10099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14527000	1				7	3797	True	3879	9678	10496	10496			9606;9606
A0MZ66	A0MZ66	3	3	3	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	3	3	3	3.8	3.8	3.8	71.639	631	631	4.22			2	4	2	1	0	139.94	50518	33601	30741	36349	43647	54056	49042	60311	50334	30314	35249	52542	39275	55978	23284	42646	50518	33601	30741	36349	43647	54056	49042	60311	50334	30314	35249	52542	39275	55978	23284	42646	8	8	8	7	8	9	9	8	9	8	7	8	8	9	8	9	80787000	9				8	779;780;4852	True;True;True	778;779;4962	1955;1956;1957;1958;1959;1960;12199;12200;12201	2127;2128;2129;2130;2131;2132;13211;13212;13213	2130;2131;13212	4;5	413;414	9606
A3KN83	A3KN83	1	1	1	Protein strawberry notch homolog 1	SBNO1	sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	1	1	1	1	1	1	1	154.31	1393	1393	3.5			1	1			1	-2	18689	12317	14426	12456	23474	13427	28906	11059	25425	17016	23814	21263	8093.7	11433	7989.7	12947	18689	12317	14426	12456	23474	13427	28906	11059	25425	17016	23814	21263	8093.7	11433	7989.7	12947	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	19742000	3	+			9	7137	True	7273	17752;17753	19236;19237;19238	19237	6	1144	9606
