Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q7Z6K5;A0A0A6YYH1	Q7Z6K5;A0A0A6YYH1	3;3	3;3	3;3	Arpin	ARPIN;C15orf38-AP3S2	sp|Q7Z6K5|ARPIN_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;tr|A0A0A6YYH1|A0A0A6YYH1_HUMAN Protein C15orf38-AP3S2 OS=Homo sapiens OX=9606 GN=C15orf38-AP3S2 PE=4 SV=1	2	3	3	3	11.5	11.5	11.5	24.943	226	226;394	1.33	2	1					0	17.759	21581	22507	27459	40708	21571	20992	22503	20819	25255	25847	15678	29937	8431.2	16679	9191.9	11146	21581	22507	27459	40708	21571	20992	22503	20819	25255	25847	15678	29937	8431.2	16679	9191.9	11146	4	4	4	4	4	4	4	3	4	4	4	4	4	3	3	3	13744000	4				0	2351;3409;3810	True;True;True	2343;3401;3802	5625;8360;9248	6227;9243;9244;10196	6227;9243;10196			9606;9606
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	4;4	4;4	4;4	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	4	4	4	26.6	26.6	26.6	21.397	184	184;228	3.38	1	4	2	3	1	2	0	27.279	350220	358350	462350	466950	406830	310330	345900	199230	360570	279630	283030	281110	196810	242960	323920	248180	350220	358350	462350	466950	406830	310330	345900	199230	360570	279630	283030	281110	196810	242960	323920	248180	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	601980000	16				1	1864;2567;4002;6004	True;True;True;True	1856;2559;3988;5977	4536;4537;4538;4539;4540;6224;9688;9689;14482;14483;14484;14485;14486	5034;5035;5036;5037;5038;5039;5040;6882;10685;10686;16001;16002;16003;16004;16005;16006	5040;6882;10686;16002			9606;9606
Q13509;A0A0B4J269;Q9BUF5	Q13509;A0A0B4J269	7;7;3	1;1;1	1;1;1	Tubulin beta-3 chain	TUBB3	sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	3	7	1	1	20.4	2.7	2.7	50.432	450	450;797;446	3.5			1	1			0	15.976	13545	17946	12246	14159	10548	11742	15690	25327	17552	35124	23962	14030	184540	11551	11836	9835.1	13545	17946	12246	14159	10548	11742	15690	25327	17552	35124	23962	14030	184540	11551	11836	9835.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	17037000	2				2	364;456;2025;2203;2542;3084;3359	False;False;True;False;False;False;False	358;450;2017;2195;2534;3076;3351	928;929;930;931;932;1150;1151;1152;1153;1154;4905;4906;5284;6143;6144;6145;6146;7606;8253;8254	1029;1030;1031;1032;1033;1034;1270;1271;1272;1273;1274;1275;5443;5444;5847;6788;6789;6790;6791;8409;9131;9132	1030;1271;5444;5847;6791;8409;9131	0;1;2;3;4	73;164;257;293;330	9606;9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	3;3	3;3	3;3	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	3	3	3	7.6	7.6	7.6	34.945	340	340;359	4.33		1		2	2	1	0	18.381	60046	73708	71783	66135	60876	51930	59842	57255	43792	42319	39674	41242	33995	37534	38937	30405	60046	73708	71783	66135	60876	51930	59842	57255	43792	42319	39674	41242	33995	37534	38937	30405	6	6	6	6	6	6	6	6	5	5	5	6	6	5	5	5	107920000	6				3	1342;2811;5678	True;True;True	1334;2803;5651	3294;6869;13619;13620;13621;13622	3675;7582;15067;15068;15069;15070	3675;7582;15069			9606;9606
P07339;A0A1B0GU03	P07339;A0A1B0GU03	3;3	3;3	3;3	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	sp|P07339|CATD_HUMAN Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1;tr|A0A1B0GU03|A0A1B0GU03_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1	2	3	3	3	8.5	8.5	8.5	44.552	412	412;582	2.83	1	2	1	1	1		0	22.448	82112	69935	38149	69721	116600	56394	74004	74482	69997	72264	39634	77301	69865	78447	37780	66401	82112	69935	38149	69721	116600	56394	74004	74482	69997	72264	39634	77301	69865	78447	37780	66401	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	153180000	6				4	1045;3776;4407	True;True;True	1037;3768;4393	2570;9189;9190;9191;10638;10639	2810;10133;10134;10135;11736;11737	2810;10134;11737	5	246	9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	5;5	5;5	5;5	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	5	5	5	3.8	3.8	3.8	155.68	1409	1409;1792	1.88	4	2	1	1			0	47.195	200360	220290	277840	264530	197720	149650	194370	155820	224360	141460	128530	218510	227230	189970	200600	129800	200360	220290	277840	264530	197720	149650	194370	155820	224360	141460	128530	218510	227230	189970	200600	129800	7	7	8	8	7	7	7	7	8	7	7	8	5	7	7	7	161260000	8				5	2330;4360;4598;4933;5730	True;True;True;True;True	2322;4346;4584;4914;5703	5561;10526;10527;11038;11039;11816;11817;13760	6157;11620;11621;12190;12191;13034;13035;15216	6157;11621;12191;13035;15216			9606;9606
A0A1B0GVH7	A0A1B0GVH7	1	1	1			sp|A0A1B0GVH7|IQCM_HUMAN IQ domain-containing protein M OS=Homo sapiens OX=9606 GN=IQCM PE=4 SV=1	1	1	1	1	2	2	2	59.586	501	501	3			1				1	-2	13660	8664.2	6514.5	16135	13569	9569.1	14512	10233	15709	14655	11161	14134	7869.1	9372.7	5136.1	6044.7	13660	8664.2	6514.5	16135	13569	9569.1	14512	10233	15709	14655	11161	14134	7869.1	9372.7	5136.1	6044.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	+			6	3989	True	3975	9661	10653	10653	6	7	9606
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	2.2	2.2	2.2	102.36	921	921	3			1				0.0097784	5.9669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377570	1				7	1832	True	1824	4469	4963	4963			9606
A0MZ66	A0MZ66	2	2	2	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	2	2	2	3.6	3.6	3.6	71.639	631	631	4.67				1	2		0	62.119	32682	35035	42379	26204	33798	31189	43940	21906	26715	18522	8000.8	21485	10074	24038	16769	20740	32682	35035	42379	26204	33798	31189	43940	21906	26715	18522	8000.8	21485	10074	24038	16769	20740	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	46722000	3				8	668;4156	True;True	659;4142	1691;1692;10054	1848;1849;11094	1848;11094			9606
A3KN83	A3KN83	1	1	1	Protein strawberry notch homolog 1	SBNO1	sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	1	1	1	1	0.6	0.6	0.6	154.31	1393	1393	4				1			1	-2	14557	8649.1	5263.4	12653	34441	9344.1	22459	3117.9	19733	25671	3549.1	5800.8	14960	7497.5	8488.3	13360	14557	8649.1	5263.4	12653	34441	9344.1	22459	3117.9	19733	25671	3549.1	5800.8	14960	7497.5	8488.3	13360	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	+			9	3972	True	3960	9634	10626	10626	7	217	9606
