Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P18621;A0A0A6YYL6	P18621;A0A0A6YYL6	4;4	4;4	4;4	60S ribosomal protein L17	RPL17;RPL17-C18orf32	sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3;tr|A0A0A6YYL6|A0A0A6YYL6_HUMAN Protein RPL17-C18orf32 OS=Homo sapiens OX=9606 GN=RPL17-C18orf32 PE=3 SV=1	2	4	4	4	26.6	26.6	26.6	21.397	184	184;228	3.3	2	5	5	3	3	2	0	35.225	220120	171360	115090	182430	177130	140180	161660	296640	154240	171930	191960	186440	145160	204430	201290	143700	220120	171360	115090	182430	177130	140180	161660	296640	154240	171930	191960	186440	145160	204430	201290	143700	21	21	18	20	20	20	20	21	20	19	20	19	19	20	20	21	354220000	22				0	1853;2596;4155;6433	True;True;True;True	1850;2598;4156;6436	4986;4987;4988;4989;4990;6946;6947;6948;6949;6950;6951;6952;6953;11067;11068;17095;17096;17097;17098;17099	5856;5857;5858;5859;5860;8026;8027;8028;8029;8030;8031;8032;8033;8034;12826;12827;19822;19823;19824;19825;19826;19827	5857;8030;12827;19825			9606;9606
Q7Z6L0;A0A0G2JLL6	Q7Z6L0;A0A0G2JLL6	2;2	2;2	2;2	Proline-rich transmembrane protein 2	PRRT2	sp|Q7Z6L0|PRRT2_HUMAN Proline-rich transmembrane protein 2 OS=Homo sapiens OX=9606 GN=PRRT2 PE=1 SV=1;tr|A0A0G2JLL6|A0A0G2JLL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	2	2	2	5.6	5.6	5.6	34.945	340	340;359	4.2			2	1	1	1	0	3.6558	18902	18439	23062	24301	17907	17499	15224	8777.9	17171	16161	23644	17381	20910	20677	28455	19554	18902	18439	23062	24301	17907	17499	15224	8777.9	17171	16161	23644	17381	20910	20677	28455	19554	5	5	5	5	4	5	6	3	5	5	5	5	5	6	5	5	57903000	6				1	1324;6061	True;True	1321;6063	3593;16093;16094;16095;16096	4261;18676;18677;18678;18679;18680	4261;18678			9606;9606
Q6IE36;A0A1W2PP64;A0A0J9YW53;A0A0G2JMS6	Q6IE36;A0A1W2PP64;A0A0J9YW53;A0A0G2JMS6	1;1;1;1	1;1;1;1	1;1;1;1	Ovostatin homolog 2	OVOS2	sp|Q6IE36|OVOS2_HUMAN Ovostatin homolog 2 OS=Homo sapiens OX=9606 GN=OVOS2 PE=2 SV=2;tr|A0A1W2PP64|A0A1W2PP64_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A0J9YW53|A0A0J9YW53_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=	4	1	1	1	0.6	0.6	0.6	161.25	1432	1432;1363;1432;1433	4				1			1	-2	9682	24082	5934.3	11324	8289.8	6128.9	26558	16100	11736	22091	15194	7835	12221	7040.9	11100	7104.6	9682	24082	5934.3	11324	8289.8	6128.9	26558	16100	11736	22091	15194	7835	12221	7040.9	11100	7104.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	+			2	3387	True	3390	9096	10535	10535	0	674	9606;9606;9606;9606
Q9UPP5;A0A1B0GUL6	Q9UPP5;A0A1B0GUL6	1;1	1;1	1;1	Uncharacterized protein KIAA1107	KIAA1107	sp|Q9UPP5|K1107_HUMAN Uncharacterized protein KIAA1107 OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=2;tr|A0A1B0GUL6|A0A1B0GUL6_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	2	1	1	1	0.9	0.9	0.9	155.68	1409	1409;1792	1	1						0	2.2023	25425	31347	31924	33150	27855	33095	18758	24898	31825	24803	33916	28866	33228	32036	37624	35595	25425	31347	31924	33150	27855	33095	18758	24898	31825	24803	33916	28866	33228	32036	37624	35595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10847000	1				3	4867	True	4871	12929	14975	14975			9606;9606
A0A1W2PQS6	A0A1W2PQS6	4	4	0			tr|A0A1W2PQS6|A0A1W2PQS6_HUMAN RPS10-NUDT3 readthrough OS=Homo sapiens OX=9606 GN=RPS10-NUDT3 PE=4 SV=1	1	4	4	0	16.5	16.5	0	33.14	291	291	4.17			2	2	1	1	0	4.3181	33973	21326	36565	28955	24380	25578	24186	46653	26115	27047	31558	25353	18817	25739	33940	26717	33973	21326	36565	28955	24380	25578	24186	46653	26115	27047	31558	25353	18817	25739	33940	26717	4	5	4	4	5	5	4	4	5	4	5	4	4	4	5	5	56396000	6				4	2401;2599;3982;6289	True;True;True;True	2401;2601;3987;6292	6398;6399;6957;10617;10618;16659	7410;7411;8038;12285;12286;19301	7410;8038;12286;19301	1	172	9606
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	1.3	1.3	1.3	102.36	921	921	2		1					0	7.0886	0	1073.1	1217.3	0	1658.2	1800.3	1228.1	1205.9	0	1779.8	1134.7	745.45	1282.4	907.17	1599.9	1299.9	0	1073.1	1217.3	0	1658.2	1800.3	1228.1	1205.9	0	1779.8	1134.7	745.45	1282.4	907.17	1599.9	1299.9	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	998070	1				5	6073	True	6075	16137	18730	18730			9606
A0MZ66	A0MZ66	4	4	4	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	4	4	4	5.4	5.4	5.4	71.639	631	631	4.12			2	3	3		0	91.29	39295	47999	37688	44884	36324	43731	53705	65948	55934	24937	30725	28598	40549	27399	35991	42718	39295	47999	37688	44884	36324	43731	53705	65948	55934	24937	30725	28598	40549	27399	35991	42718	7	8	8	8	8	8	6	8	7	7	7	8	8	8	7	7	68361000	8				6	654;655;3977;4331	True;True;True;True	647;648;3982;4332	1729;1730;1731;1732;1733;10607;11523;11524	1995;1996;1997;1998;1999;12274;13360;13361	1997;1999;12274;13361	2;3	413;414	9606
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	3;3	1;1	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=2 SV=1	2	3	1	1	22.4	11.2	11.2	14.688	125	125;125	3.14	2	1	1	1	1	1	0	5.2947	103160	138980	134250	87156	66668	149440	60559	99098	58730	90254	62212	63163	57315	102720	101150	51670	103160	138980	134250	87156	66668	149440	60559	99098	58730	90254	62212	63163	57315	102720	101150	51670	7	7	9	7	7	8	8	9	7	7	7	7	7	7	7	7	114990000	9				7	2195;3173;4492	True;False;False	2194;2195;3176;4493	5859;5860;5861;5862;5863;5864;5865;8569;8570;11970	6809;6810;6811;6812;6813;6814;6815;6816;6817;9930;9931;13857	6811;9930;13857	4	60	9606;9606
A6NDG6	A6NDG6	1	1	1	Phosphoglycolate phosphatase	PGP	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	1	1	1	4	4	4	34.006	321	321	2.5		1	1				0.0014652	1.7347	13066	27448	28930	19862	14590	20602	14387	16787	14058	15896	13221	13943	17097	19246	14394	19430	13066	27448	28930	19862	14590	20602	14387	16787	14058	15896	13221	13943	17097	19246	14394	19430	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	21459000	2				8	2448	True	2448	6532;6533	7557;7558	7558			9606
A6NGB9	A6NGB9	4	4	4	WAS/WASL-interacting protein family member 3	WIPF3	sp|A6NGB9|WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens OX=9606 GN=WIPF3 PE=1 SV=4	1	4	4	4	10.8	10.8	10.8	49.457	483	483	1.57	4	2	1				0	7.1339	54428	51401	64563	70547	54473	40244	32225	29294	62358	42202	75032	71119	49451	67142	89588	50839	54428	51401	64563	70547	54473	40244	32225	29294	62358	42202	75032	71119	49451	67142	89588	50839	8	8	8	8	8	8	8	8	8	8	8	8	7	8	8	7	99601000	8				9	270;4857;5227;5564	True;True;True;True	266;4861;5229;5567	718;12900;12901;12902;13822;14723;14724	848;14944;14945;14946;15970;16970;16971;16972	848;14944;15970;16971			9606
